Starts,Ends,Ad set budget,Ad set budget type,Attribution setting,Results,Result indicator,Reach,Impressions,Cost per results,Amount spent (MXN),Result rate,Frequency,CPC (All) (MXN),CTR (all),Auto-refresh impressions,Cost per Page engagement (MXN),Messaging Conversations Started,New messaging connections,Cost per new messaging connection (MXN),Campaign ID,Objective
1/25/2019,2/17/2019,Using ad set budget,0,28-day click or 1-day view,,,0,0,,0,,0,0,0,0,,,,,341,Messages
1/26/2019,2/22/2019,Using ad set budget,0,28-day click or 1-day view,,,0,0,,0,,0,0,0,0,,,,,995,Messages
1/27/2019,2/9/2019,Using ad set budget,0,28-day click or 1-day view,,,0,0,,0,,0,0,0,0,,,,,964,Messages
2/11/2019,2/21/2019,Using ad set budget,0,28-day click or 1-day view,,,0,0,,0,,0,0,0,0,,,,,849,Messages
2/18/2019,2/28/2019,Using ad set budget,0,28-day click or 1-day view,,,0,0,,0,,0,0,0,0,,,,,182,Messages
2/18/2019,2/28/2019,Using ad set budget,0,28-day click or 1-day view,2,actions:onsite_conversion.messaging_conversation_started_7d,0,0,0,0,,0,0,0,0,,2,,,663,Messages
3/4/2019,3/22/2019,Using ad set budget,0,28-day click or 1-day view,15,actions:onsite_conversion.messaging_conversation_started_7d,2511,3072,5.56,83.4,0.48828125,1.223417,0.538065,5.045573,0,0.906522,15,9,9.266667,928,Messages
3/7/2019,3/17/2019,Using ad set budget,0,28-day click or 1-day view,8,actions:onsite_conversion.messaging_conversation_started_7d,1408,1656,7.47,59.76,0.483091787,1.176136,0.429928,8.39372,0,0.108065,8,8,7.47,264,Messages
3/11/2019,3/21/2019,Using ad set budget,0,28-day click or 1-day view,36,actions:onsite_conversion.messaging_conversation_started_7d,13358,17480,12.79666667,460.68,0.205949657,1.308579,0.543255,4.851259,0,0.638946,36,29,15.885517,465,Messages
3/22/2019,4/5/2019,Using ad set budget,0,28-day click or 1-day view,17,actions:onsite_conversion.messaging_conversation_started_7d,4203,5906,15.74235294,267.62,0.287842872,1.405187,0.803664,5.638334,0,0.209569,17,13,20.586154,816,Messages
3/27/2019,4/6/2019,Using ad set budget,0,28-day click or 1-day view,1661,video_10_sec_watched_actions,12811,15085,0.200084287,332.34,11.01093802,1.177504,0.99503,2.21412,0,0.059935,9,9,36.926667,154,Video Views
4/4/2019,4/7/2019,Using ad set budget,0,28-day click or 1-day view,13,actions:onsite_conversion.messaging_conversation_started_7d,1338,2201,7.692307692,100,0.590640618,1.644993,0.653595,6.951386,0,1.612903,13,7,14.285714,756,Messages
5/1/2019,5/10/2019,Using ad set budget,0,28-day click or 1-day view,49,actions:onsite_conversion.messaging_conversation_started_7d,41768,55206,18.11040816,887.41,0.088758468,1.32173,0.788809,2.037822,0,2.02605,49,36,24.650278,968,Messages
5/5/2019,5/8/2019,Using ad set budget,0,28-day click or 1-day view,8,actions:onsite_conversion.messaging_conversation_started_7d,6296,8607,27.27375,218.19,0.092947601,1.367058,0.912929,2.77681,0,2.11835,8,6,36.365,806,Messages
5/15/2019,5/17/2019,Using ad set budget,0,28-day click or 1-day view,505,actions:post_engagement,5477,6769,0.177405941,89.59,7.460481607,1.235896,0.173624,7.622987,0,0.177406,3,3,29.863333,126,Engagement
5/17/2019,5/23/2019,Using ad set budget,0,28-day click or 1-day view,34,actions:rsvp,2787,4695,2.941176471,100,0.724174654,1.684607,0.584795,3.642173,0,1.492537,,,,449,Event Responses
5/27/2019,6/2/2019,Using ad set budget,0,28-day click or 1-day view,29,actions:onsite_conversion.messaging_conversation_started_7d,5052,7186,10.06827586,291.98,0.403562483,1.422407,1.191755,3.409407,0,1.871667,29,26,11.23,431,Messages
5/28/2019,5/30/2019,Using ad set budget,0,28-day click or 1-day view,295,actions:post_engagement,3745,4105,0.338983051,100,7.1863581,1.096128,0.148368,16.419001,0,0.338983,5,4,25,622,Engagement
6/5/2019,6/13/2019,400,Lifetime,28-day click or 1-day view,4,actions:onsite_conversion.messaging_conversation_started_7d,7683,11403,66.7725,267.09,0.035078488,1.484186,0.348681,6.71753,0,0.425981,4,3,89.03,738,Messages
6/9/2019,6/15/2019,500,Lifetime,28-day click or 1-day view,3,actions:onsite_conversion.messaging_conversation_started_7d,689,1392,20.38,61.14,0.215517241,2.020319,0.719294,6.106322,0,0.76425,3,1,61.14,134,Messages
6/10/2019,6/20/2019,1000,Lifetime,28-day click or 1-day view,43,actions:onsite_conversion.messaging_conversation_started_7d,20564,28250,18.22465116,783.66,0.152212389,1.37376,0.82927,3.345133,0,0.208531,43,32,24.489375,144,Messages
